"Bene_Geo_Lvl","Bene_Geo_Desc","Bene_Geo_Cd","Bene_Age_Lvl","Bene_Demo_Lvl","Bene_Demo_Desc","Bene_Cond","Prvlnc","Year"
"National","National",NA,"All","All","All","Autism Spectrum Disorders",7e-04,2007
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0041,2007
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2007
"National","National",NA,"All","All","All","Autism Spectrum Disorders",8e-04,2008
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0046,2008
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2008
"National","National",NA,"All","All","All","Autism Spectrum Disorders",9e-04,2009
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0051,2009
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2009
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0011,2010
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0056,2010
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2010
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0012,2011
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0061,2011
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2011
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0013,2012
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0069,2012
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2012
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0015,2013
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0078,2013
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",1e-04,2013
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0017,2014
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0089,2014
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",2e-04,2014
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0019,2015
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0103,2015
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",2e-04,2015
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0021,2016
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.012,2016
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",2e-04,2016
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0024,2017
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0136,2017
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",2e-04,2017
"National","National",NA,"All","All","All","Autism Spectrum Disorders",0.0026,2018
"National","National",NA,"<65","All","All","Autism Spectrum Disorders",0.0157,2018
"National","National",NA,"65+","All","All","Autism Spectrum Disorders",3e-04,2018
